employeeid,age,gender,department,jobrole,educationlevel,performancerating,jobsatisfaction,environmentsatisfaction,worklifebalance,yearsatcompany,yearsincurrentrole,trainingtimeslastyear,overtime,monthlyincome,distancefromhome,attrition,attrition_flag,age_bin,income_bin,distance_bin,tenure_bin,low_job_satisfaction,poor_work_life,long_role_stagnation,long_commute,attrition_probability,attrition_risk_score
10453,32,Male,Sales,Coordinator,1,1,3,1,4,7,7,5,No,4767,8,No,0,"(30, 40]","(2999.999, 7292.0]","(0.999, 8.0]","(5, 10]",0,0,1,0,0.043933664712291196,4.4
10454,49,Male,Finance,Specialist,4,3,2,1,3,13,4,2,No,19320,6,No,0,"(40, 50]","(15743.5, 19999.0]","(0.999, 8.0]","(10, 40]",1,0,1,0,0.06977382587049583,7.0
10455,26,Male,R&D,Specialist,4,4,4,2,1,18,2,1,Yes,17227,22,No,0,"(18, 30]","(15743.5, 19999.0]","(15.0, 22.0]","(10, 40]",0,1,0,1,0.023011955497272772,2.3
10456,33,Male,Operations,Analyst,2,4,1,3,4,15,7,4,Yes,7456,23,No,0,"(30, 40]","(7292.0, 11588.5]","(22.0, 29.0]","(10, 40]",1,0,1,1,0.3130796122772325,31.3
10457,24,Male,Finance,Executive,3,3,4,3,3,2,8,2,No,7853,9,No,0,"(18, 30]","(7292.0, 11588.5]","(8.0, 15.0]","(0, 2]",0,0,1,0,0.007854877136065311,0.8
10458,59,Female,HR,Engineer,1,3,1,2,4,12,4,3,Yes,4732,12,Yes,1,"(50, 65]","(2999.999, 7292.0]","(8.0, 15.0]","(10, 40]",1,0,1,0,0.4394503500498404,43.9
10459,23,Male,Finance,Manager,3,2,1,2,3,16,0,2,No,10636,20,No,0,"(18, 30]","(7292.0, 11588.5]","(15.0, 22.0]","(10, 40]",1,0,0,1,0.4367080462915512,43.7
10460,47,Male,Sales,Specialist,1,2,4,4,1,18,5,4,Yes,14565,8,No,0,"(40, 50]","(11588.5, 15743.5]","(0.999, 8.0]","(10, 40]",0,1,1,0,0.02353090878594907,2.4
10461,23,Female,Marketing,Analyst,5,4,2,3,2,4,4,3,No,10379,4,No,0,"(18, 30]","(7292.0, 11588.5]","(0.999, 8.0]","(2, 5]",1,1,1,0,0.0652261864807974,6.5
10462,33,Female,Operations,Engineer,5,4,2,1,2,15,5,0,No,18549,15,No,0,"(30, 40]","(15743.5, 19999.0]","(8.0, 15.0]","(10, 40]",1,1,1,1,0.06596255481601526,6.6
10463,23,Female,Operations,Executive,3,2,2,4,1,13,3,4,Yes,16789,13,Yes,1,"(18, 30]","(15743.5, 19999.0]","(8.0, 15.0]","(10, 40]",1,1,1,0,0.23526839050318576,23.5
10464,37,Female,HR,Manager,4,3,2,3,1,18,6,2,No,5976,11,No,0,"(30, 40]","(2999.999, 7292.0]","(8.0, 15.0]","(10, 40]",1,1,1,0,0.10730109498976485,10.7
10465,51,Male,Operations,Manager,3,3,3,1,1,19,4,3,Yes,7636,13,Yes,1,"(50, 65]","(7292.0, 11588.5]","(8.0, 15.0]","(10, 40]",0,1,1,0,0.18704846690216542,18.7
10466,57,Male,R&D,Specialist,1,1,4,1,2,3,6,1,No,18356,13,No,0,"(50, 65]","(15743.5, 19999.0]","(8.0, 15.0]","(2, 5]",0,1,1,0,0.012738632215234968,1.3
10467,25,Male,Operations,Specialist,3,4,2,2,3,5,9,2,No,10604,20,No,0,"(18, 30]","(7292.0, 11588.5]","(15.0, 22.0]","(2, 5]",1,0,1,1,0.05552544940451153,5.6
10468,32,Female,IT,Coordinator,3,2,2,1,2,8,1,4,No,8483,7,No,0,"(30, 40]","(7292.0, 11588.5]","(0.999, 8.0]","(5, 10]",1,1,0,0,0.08084478841549937,8.1
10469,45,Male,HR,Analyst,1,4,2,2,2,7,2,2,No,12812,13,No,0,"(40, 50]","(11588.5, 15743.5]","(8.0, 15.0]","(5, 10]",1,1,0,0,0.06786656061558578,6.8
10470,39,Male,Operations,Manager,4,4,2,1,1,11,0,1,No,14282,4,No,0,"(30, 40]","(11588.5, 15743.5]","(0.999, 8.0]","(10, 40]",1,1,0,0,0.12398503881493925,12.4
10471,48,Female,Finance,Executive,5,3,3,3,3,10,2,0,Yes,12379,16,No,0,"(40, 50]","(11588.5, 15743.5]","(15.0, 22.0]","(5, 10]",0,0,0,1,0.1464800503990147,14.6
10472,58,Female,Sales,Executive,1,4,1,1,4,6,7,2,No,6348,23,No,0,"(50, 65]","(2999.999, 7292.0]","(22.0, 29.0]","(5, 10]",1,0,1,1,0.2534047566835815,25.3
10473,23,Female,IT,Analyst,3,1,2,3,2,7,4,4,No,5789,4,No,0,"(18, 30]","(2999.999, 7292.0]","(0.999, 8.0]","(5, 10]",1,1,1,0,0.07320168736086073,7.3
10474,36,Female,IT,Manager,2,3,3,2,3,9,8,3,Yes,14712,7,No,0,"(30, 40]","(11588.5, 15743.5]","(0.999, 8.0]","(5, 10]",0,0,1,0,0.11361933918295404,11.4
10475,32,Female,Finance,Specialist,3,3,3,4,4,2,0,0,No,10891,6,No,0,"(30, 40]","(7292.0, 11588.5]","(0.999, 8.0]","(0, 2]",0,0,0,0,0.04714987812343227,4.7
10476,48,Male,Marketing,Coordinator,3,3,3,2,3,5,4,0,No,19713,23,No,0,"(40, 50]","(15743.5, 19999.0]","(22.0, 29.0]","(2, 5]",0,0,1,1,0.08131295600874487,8.1
10477,44,Female,IT,Executive,2,3,1,4,1,10,1,1,No,19256,1,Yes,1,"(40, 50]","(15743.5, 19999.0]","(0.999, 8.0]","(5, 10]",1,1,0,0,0.5001668409367852,50.0
10478,56,Female,R&D,Engineer,3,3,4,1,3,3,7,0,Yes,11271,11,No,0,"(50, 65]","(7292.0, 11588.5]","(8.0, 15.0]","(2, 5]",0,0,1,0,0.021489979295412336,2.1
10479,51,Male,R&D,Analyst,2,2,2,3,2,11,1,0,Yes,16752,28,No,0,"(50, 65]","(15743.5, 19999.0]","(22.0, 29.0]","(10, 40]",1,1,0,1,0.16120326740321073,16.1
10480,45,Male,Sales,Executive,3,4,1,1,4,2,8,0,No,8874,16,No,0,"(40, 50]","(7292.0, 11588.5]","(15.0, 22.0]","(0, 2]",1,0,1,1,0.24359626372016807,24.4
10481,40,Male,Sales,Engineer,4,4,3,2,4,9,5,5,No,14438,13,No,0,"(30, 40]","(11588.5, 15743.5]","(8.0, 15.0]","(5, 10]",0,0,1,0,0.028329047626823874,2.8
10482,50,Female,Sales,Engineer,5,3,1,3,4,6,9,4,No,15163,24,Yes,1,"(40, 50]","(11588.5, 15743.5]","(22.0, 29.0]","(5, 10]",1,0,1,1,0.24998361290365098,25.0
10483,34,Female,Sales,Executive,4,4,4,2,3,1,8,0,No,19336,17,No,0,"(30, 40]","(15743.5, 19999.0]","(15.0, 22.0]","(0, 2]",0,0,1,1,0.008883379118149725,0.9
10484,44,Male,Operations,Analyst,1,2,3,4,4,11,1,5,No,6154,20,No,0,"(40, 50]","(2999.999, 7292.0]","(15.0, 22.0]","(10, 40]",0,0,0,1,0.03622156402423897,3.6
10485,33,Male,IT,Engineer,1,2,4,2,4,13,8,5,No,19788,25,No,0,"(30, 40]","(15743.5, 19999.0]","(22.0, 29.0]","(10, 40]",0,0,1,1,0.003596498256187712,0.4
10486,50,Female,Finance,Engineer,3,4,4,1,1,6,3,2,Yes,17029,26,No,0,"(40, 50]","(15743.5, 19999.0]","(22.0, 29.0]","(5, 10]",0,1,1,1,0.042034719349842896,4.2
10487,27,Male,R&D,Manager,1,4,3,1,2,16,2,0,No,3524,22,No,0,"(18, 30]","(2999.999, 7292.0]","(15.0, 22.0]","(10, 40]",0,1,0,1,0.05727163723156067,5.7
10488,44,Male,Operations,Coordinator,1,3,2,1,4,14,3,1,Yes,3520,16,No,0,"(40, 50]","(2999.999, 7292.0]","(15.0, 22.0]","(10, 40]",1,0,1,1,0.08436343788911525,8.4
10489,52,Male,Sales,Coordinator,3,3,4,4,3,17,7,0,No,10377,12,No,0,"(50, 65]","(7292.0, 11588.5]","(8.0, 15.0]","(10, 40]",0,0,1,0,0.005522083049108165,0.6
10490,42,Male,HR,Coordinator,3,3,3,1,2,4,6,2,Yes,14244,19,No,0,"(40, 50]","(11588.5, 15743.5]","(15.0, 22.0]","(2, 5]",0,1,1,1,0.1691430961913956,16.9
10491,45,Female,HR,Manager,5,3,1,2,4,10,5,1,No,6005,17,Yes,1,"(40, 50]","(2999.999, 7292.0]","(15.0, 22.0]","(5, 10]",1,0,1,1,0.3023071990321848,30.2
10492,29,Female,Finance,Coordinator,2,3,1,4,2,7,0,4,No,17500,22,Yes,1,"(18, 30]","(15743.5, 19999.0]","(15.0, 22.0]","(5, 10]",1,1,0,1,0.4754056119603145,47.5
10493,30,Female,R&D,Manager,3,2,4,2,4,13,1,1,No,14129,11,No,0,"(18, 30]","(11588.5, 15743.5]","(8.0, 15.0]","(10, 40]",0,0,0,0,0.00605455575998177,0.6
10494,43,Male,Marketing,Engineer,5,1,3,3,4,1,9,2,No,3382,14,No,0,"(40, 50]","(2999.999, 7292.0]","(8.0, 15.0]","(0, 2]",0,0,1,0,0.03975595175244873,4.0
10495,25,Female,R&D,Engineer,4,3,4,1,4,19,1,1,Yes,13386,1,No,0,"(18, 30]","(11588.5, 15743.5]","(0.999, 8.0]","(10, 40]",0,0,0,0,0.009046511823477587,0.9
10496,34,Female,Finance,Analyst,1,2,2,3,1,6,7,3,No,9671,3,No,0,"(30, 40]","(7292.0, 11588.5]","(0.999, 8.0]","(5, 10]",1,1,1,0,0.14145872041219518,14.1
10497,55,Male,Marketing,Specialist,2,4,1,1,2,7,4,2,No,17496,14,No,0,"(50, 65]","(15743.5, 19999.0]","(8.0, 15.0]","(5, 10]",1,1,1,0,0.37007855764115,37.0
10498,24,Male,Sales,Manager,4,4,2,4,1,3,4,1,Yes,9485,13,No,0,"(18, 30]","(7292.0, 11588.5]","(8.0, 15.0]","(2, 5]",1,1,1,0,0.21236471055532524,21.2
10499,58,Female,Sales,Coordinator,3,3,4,4,1,9,5,0,Yes,11946,24,No,0,"(50, 65]","(11588.5, 15743.5]","(22.0, 29.0]","(5, 10]",0,1,1,1,0.03438043005532884,3.4
10500,49,Male,IT,Specialist,4,2,2,3,3,13,2,1,No,13063,21,No,0,"(40, 50]","(11588.5, 15743.5]","(15.0, 22.0]","(10, 40]",1,0,0,1,0.05709580213425797,5.7
10501,47,Male,R&D,Manager,5,3,2,3,4,14,1,0,No,5915,29,No,0,"(40, 50]","(2999.999, 7292.0]","(22.0, 29.0]","(10, 40]",1,0,0,1,0.03881122504811811,3.9
10502,55,Female,R&D,Coordinator,3,3,4,1,1,9,2,5,No,10314,20,No,0,"(50, 65]","(7292.0, 11588.5]","(15.0, 22.0]","(5, 10]",0,1,0,1,0.01983227113978496,2.0
10503,36,Female,R&D,Manager,3,2,4,4,3,15,4,3,No,9395,10,No,0,"(30, 40]","(7292.0, 11588.5]","(8.0, 15.0]","(10, 40]",0,0,1,0,0.008739104843922565,0.9
10504,29,Female,Marketing,Coordinator,2,3,4,1,2,2,9,4,Yes,11755,3,No,0,"(18, 30]","(11588.5, 15743.5]","(0.999, 8.0]","(0, 2]",0,1,1,0,0.020782711686938765,2.1
10505,56,Male,Sales,Analyst,5,3,2,2,2,1,8,2,No,7013,28,No,0,"(50, 65]","(2999.999, 7292.0]","(22.0, 29.0]","(0, 2]",1,1,1,1,0.06941129372956291,6.9
10506,45,Male,HR,Analyst,1,4,3,2,1,0,4,4,Yes,10185,10,No,0,"(40, 50]","(7292.0, 11588.5]","(8.0, 15.0]",,0,1,1,0,0.22953274951016409,23.0
10507,58,Male,Finance,Executive,4,3,3,1,3,10,5,1,Yes,9231,10,No,0,"(50, 65]","(7292.0, 11588.5]","(8.0, 15.0]","(5, 10]",0,0,1,0,0.12862780240235316,12.9
10508,25,Male,Finance,Manager,2,3,3,1,4,15,9,5,No,9845,26,No,0,"(18, 30]","(7292.0, 11588.5]","(22.0, 29.0]","(10, 40]",0,0,1,1,0.0329568570352284,3.3
10509,33,Male,Operations,Manager,2,4,2,1,2,11,2,5,No,15610,22,No,0,"(30, 40]","(11588.5, 15743.5]","(15.0, 22.0]","(10, 40]",1,1,0,1,0.07238905462799337,7.2
10510,40,Male,Operations,Manager,3,3,1,1,3,4,4,3,No,5500,4,Yes,1,"(30, 40]","(2999.999, 7292.0]","(0.999, 8.0]","(2, 5]",1,0,1,0,0.4302441129273048,43.0
10511,36,Female,HR,Analyst,4,4,1,3,2,19,3,1,No,15718,7,Yes,1,"(30, 40]","(11588.5, 15743.5]","(0.999, 8.0]","(10, 40]",1,1,1,0,0.3303664655203765,33.0
10512,51,Female,R&D,Coordinator,2,2,4,3,4,14,6,3,No,18358,8,No,0,"(50, 65]","(15743.5, 19999.0]","(0.999, 8.0]","(10, 40]",0,0,1,0,0.005174128992048907,0.5
10513,58,Male,HR,Manager,3,3,3,3,3,16,7,4,No,7638,15,No,0,"(50, 65]","(7292.0, 11588.5]","(8.0, 15.0]","(10, 40]",0,0,1,1,0.05706032754182854,5.7
10514,33,Female,Marketing,Executive,3,1,1,3,4,7,0,5,No,19269,29,Yes,1,"(30, 40]","(15743.5, 19999.0]","(22.0, 29.0]","(5, 10]",1,0,0,1,0.3559686706807924,35.6
10515,40,Female,Marketing,Engineer,5,3,3,2,1,18,2,3,No,17737,8,No,0,"(30, 40]","(15743.5, 19999.0]","(0.999, 8.0]","(10, 40]",0,1,0,0,0.09776581618891142,9.8
10516,55,Female,Operations,Executive,3,4,2,1,4,18,8,1,No,8155,6,No,0,"(50, 65]","(7292.0, 11588.5]","(0.999, 8.0]","(10, 40]",1,0,1,0,0.027420034809758423,2.7
10517,28,Male,IT,Coordinator,1,4,4,3,2,11,0,3,No,14925,21,No,0,"(18, 30]","(11588.5, 15743.5]","(15.0, 22.0]","(10, 40]",0,1,0,1,0.006585235071158582,0.7
10518,49,Female,Operations,Engineer,5,4,4,3,1,6,7,0,No,7174,23,No,0,"(40, 50]","(2999.999, 7292.0]","(22.0, 29.0]","(5, 10]",0,1,1,1,0.013656007317601387,1.4
10519,49,Female,Finance,Analyst,5,3,4,4,4,5,1,5,No,13809,25,No,0,"(40, 50]","(11588.5, 15743.5]","(22.0, 29.0]","(2, 5]",0,0,0,1,0.005647074400701797,0.6
10520,50,Male,Marketing,Coordinator,1,2,4,4,1,1,9,5,No,19791,10,No,0,"(40, 50]","(15743.5, 19999.0]","(8.0, 15.0]","(0, 2]",0,1,1,0,0.017229522926052655,1.7
10521,58,Male,HR,Specialist,1,2,4,1,4,2,9,0,No,7813,24,No,0,"(50, 65]","(7292.0, 11588.5]","(22.0, 29.0]","(0, 2]",0,0,1,1,0.005946715372326001,0.6
10522,41,Male,Sales,Coordinator,2,2,4,3,3,8,4,3,No,11334,5,No,0,"(40, 50]","(7292.0, 11588.5]","(0.999, 8.0]","(5, 10]",0,0,1,0,0.009115282370435445,0.9
10523,32,Female,Operations,Analyst,2,3,4,3,1,10,2,3,Yes,14824,28,No,0,"(30, 40]","(11588.5, 15743.5]","(22.0, 29.0]","(5, 10]",0,1,0,1,0.03340136483688503,3.3
10524,44,Female,Finance,Specialist,1,3,3,2,4,17,6,3,No,10164,3,No,0,"(40, 50]","(7292.0, 11588.5]","(0.999, 8.0]","(10, 40]",0,0,1,0,0.03186293549106763,3.2
10525,41,Female,R&D,Engineer,2,3,1,3,1,15,1,3,No,9293,13,Yes,1,"(40, 50]","(7292.0, 11588.5]","(8.0, 15.0]","(10, 40]",1,1,0,0,0.514969436093758,51.5
10526,41,Male,HR,Specialist,1,4,3,1,4,9,7,3,No,6468,11,No,0,"(40, 50]","(2999.999, 7292.0]","(8.0, 15.0]","(5, 10]",0,0,1,0,0.029443680890735787,2.9
10527,32,Male,Operations,Engineer,1,3,3,4,4,15,0,0,No,6201,7,No,0,"(30, 40]","(2999.999, 7292.0]","(0.999, 8.0]","(10, 40]",0,0,0,0,0.029222837655451292,2.9
10528,23,Male,Sales,Coordinator,3,2,1,4,1,8,5,2,Yes,3220,16,Yes,1,"(18, 30]","(2999.999, 7292.0]","(15.0, 22.0]","(5, 10]",1,1,1,1,0.7140978736558972,71.4
10529,34,Female,Operations,Specialist,2,2,3,3,1,19,2,4,No,11943,15,No,0,"(30, 40]","(11588.5, 15743.5]","(8.0, 15.0]","(10, 40]",0,1,0,1,0.1072643954679713,10.7
10530,34,Female,Sales,Engineer,5,4,4,2,3,1,0,0,No,8604,23,No,0,"(30, 40]","(7292.0, 11588.5]","(22.0, 29.0]","(0, 2]",0,0,0,1,0.010062305937243887,1.0
10531,36,Female,HR,Coordinator,5,4,3,2,3,17,9,3,Yes,3225,24,No,0,"(30, 40]","(2999.999, 7292.0]","(22.0, 29.0]","(10, 40]",0,0,1,1,0.09726847522283251,9.7
10532,52,Male,IT,Specialist,2,2,4,1,1,15,0,2,No,15234,28,No,0,"(50, 65]","(11588.5, 15743.5]","(22.0, 29.0]","(10, 40]",0,1,0,1,0.013968682459002468,1.4
10533,44,Male,Sales,Engineer,2,4,1,2,2,19,2,2,Yes,17229,10,No,0,"(40, 50]","(15743.5, 19999.0]","(8.0, 15.0]","(10, 40]",1,1,0,0,0.47586205798632114,47.6
10534,43,Female,Sales,Executive,2,3,3,3,4,13,5,5,No,17126,27,No,0,"(40, 50]","(15743.5, 19999.0]","(22.0, 29.0]","(10, 40]",0,0,1,1,0.03471100809967772,3.5
10535,37,Female,Finance,Manager,2,4,2,1,1,11,6,5,No,5166,6,No,0,"(30, 40]","(2999.999, 7292.0]","(0.999, 8.0]","(10, 40]",1,1,1,0,0.12144658804627523,12.1
10536,50,Female,IT,Executive,3,3,3,3,1,3,3,4,No,10596,27,No,0,"(40, 50]","(7292.0, 11588.5]","(22.0, 29.0]","(2, 5]",0,1,1,1,0.11749490538418071,11.7
10537,41,Male,HR,Analyst,1,4,1,1,4,16,2,1,Yes,12191,7,Yes,1,"(40, 50]","(11588.5, 15743.5]","(0.999, 8.0]","(10, 40]",1,0,0,0,0.37116908893869,37.1
10538,49,Female,Operations,Specialist,2,3,2,2,2,19,2,5,Yes,15508,12,No,0,"(40, 50]","(11588.5, 15743.5]","(8.0, 15.0]","(10, 40]",1,1,0,0,0.12024959949996655,12.0
10539,48,Male,IT,Coordinator,2,2,4,2,2,19,3,1,No,4858,18,No,0,"(40, 50]","(2999.999, 7292.0]","(15.0, 22.0]","(10, 40]",0,1,1,1,0.006778554195916249,0.7
10540,50,Female,R&D,Engineer,1,1,2,3,1,6,2,5,No,11396,13,No,0,"(40, 50]","(7292.0, 11588.5]","(8.0, 15.0]","(5, 10]",1,1,0,0,0.17146697669218897,17.1
10541,26,Female,HR,Executive,1,3,4,4,3,3,3,1,No,17291,13,No,0,"(18, 30]","(15743.5, 19999.0]","(8.0, 15.0]","(2, 5]",0,0,1,0,0.010769169205758298,1.1
10542,59,Female,IT,Executive,1,1,1,2,3,14,5,1,No,9838,14,Yes,1,"(50, 65]","(7292.0, 11588.5]","(8.0, 15.0]","(10, 40]",1,0,1,0,0.381979374455112,38.2
10543,59,Female,HR,Coordinator,4,2,4,4,2,13,8,0,No,8950,26,No,0,"(50, 65]","(7292.0, 11588.5]","(22.0, 29.0]","(10, 40]",0,1,1,1,0.009179601903782624,0.9
10544,23,Female,R&D,Engineer,5,2,1,3,4,19,9,0,No,12311,16,Yes,1,"(18, 30]","(11588.5, 15743.5]","(15.0, 22.0]","(10, 40]",1,0,1,1,0.22222752014671276,22.2
10545,41,Female,Operations,Specialist,2,3,3,2,1,0,9,3,No,7943,18,No,0,"(40, 50]","(7292.0, 11588.5]","(15.0, 22.0]",,0,1,1,1,0.1273158686153662,12.7
10546,34,Female,Marketing,Coordinator,3,3,2,2,1,8,6,2,Yes,16186,16,Yes,1,"(30, 40]","(15743.5, 19999.0]","(15.0, 22.0]","(5, 10]",1,1,1,1,0.2623844489982899,26.2
10547,47,Female,Finance,Analyst,3,4,2,4,1,3,6,0,Yes,19920,12,No,0,"(40, 50]","(15743.5, 19999.0]","(8.0, 15.0]","(2, 5]",1,1,1,0,0.2378396774235279,23.8
10548,56,Female,IT,Analyst,1,4,2,3,4,19,6,5,No,10635,29,No,0,"(50, 65]","(7292.0, 11588.5]","(22.0, 29.0]","(10, 40]",1,0,1,1,0.02252931057973177,2.3
10549,29,Female,Operations,Coordinator,3,4,4,4,4,8,4,0,No,9850,13,No,0,"(18, 30]","(7292.0, 11588.5]","(8.0, 15.0]","(5, 10]",0,0,1,0,0.00422082567071845,0.4
10550,49,Male,R&D,Analyst,5,3,1,2,1,8,6,4,Yes,13797,6,Yes,1,"(40, 50]","(11588.5, 15743.5]","(0.999, 8.0]","(5, 10]",1,1,1,0,0.689646028234651,69.0
10551,36,Male,Operations,Engineer,2,4,3,1,1,11,7,0,No,10512,17,No,0,"(30, 40]","(7292.0, 11588.5]","(15.0, 22.0]","(10, 40]",0,1,1,1,0.09412259819787924,9.4
10552,29,Female,HR,Executive,3,3,1,2,4,15,6,1,No,11283,23,No,0,"(18, 30]","(7292.0, 11588.5]","(22.0, 29.0]","(10, 40]",1,0,1,1,0.2524917049957969,25.2
10553,32,Female,Finance,Coordinator,5,4,2,4,2,4,2,0,Yes,5307,22,No,0,"(30, 40]","(2999.999, 7292.0]","(15.0, 22.0]","(2, 5]",1,1,0,1,0.15739584568807688,15.7
10554,50,Male,Sales,Analyst,5,2,4,1,3,16,9,1,Yes,7993,19,No,0,"(40, 50]","(7292.0, 11588.5]","(15.0, 22.0]","(10, 40]",0,0,1,1,0.013724082253435197,1.4
10555,26,Male,IT,Executive,4,4,3,4,2,5,8,5,No,11391,8,No,0,"(18, 30]","(7292.0, 11588.5]","(0.999, 8.0]","(2, 5]",0,1,1,0,0.03772706312950385,3.8
10556,28,Male,Operations,Coordinator,4,2,3,1,2,8,9,5,Yes,11043,17,No,0,"(18, 30]","(7292.0, 11588.5]","(15.0, 22.0]","(5, 10]",0,1,1,1,0.14097162683491862,14.1
10557,39,Female,Sales,Analyst,3,3,4,1,1,10,5,0,No,11382,4,No,0,"(30, 40]","(7292.0, 11588.5]","(0.999, 8.0]","(5, 10]",0,1,1,0,0.01509277433479963,1.5
10558,49,Female,Finance,Analyst,5,3,1,4,2,1,7,3,No,8421,8,No,0,"(40, 50]","(7292.0, 11588.5]","(0.999, 8.0]","(0, 2]",1,1,1,0,0.40805424646571775,40.8
10559,33,Female,Marketing,Coordinator,1,3,4,4,1,6,5,3,Yes,10537,25,Yes,1,"(30, 40]","(7292.0, 11588.5]","(22.0, 29.0]","(5, 10]",0,1,1,1,0.03594488942107096,3.6
10560,33,Female,Sales,Specialist,4,3,2,1,4,16,3,5,No,7028,2,No,0,"(30, 40]","(2999.999, 7292.0]","(0.999, 8.0]","(10, 40]",1,0,1,0,0.03413186178345626,3.4
10561,57,Male,Operations,Engineer,5,3,2,1,2,10,0,4,Yes,16197,6,No,0,"(50, 65]","(15743.5, 19999.0]","(0.999, 8.0]","(5, 10]",1,1,0,0,0.15036754917623596,15.0
10562,50,Male,R&D,Specialist,4,3,2,2,1,9,6,2,No,12272,8,No,0,"(40, 50]","(11588.5, 15743.5]","(0.999, 8.0]","(5, 10]",1,1,1,0,0.10879631777333802,10.9
10563,32,Male,IT,Executive,2,3,3,4,3,0,7,4,Yes,6312,11,No,0,"(30, 40]","(2999.999, 7292.0]","(8.0, 15.0]",,0,0,1,0,0.09876171805293524,9.9
10564,27,Male,HR,Executive,5,1,2,2,1,18,3,0,No,14399,14,No,0,"(18, 30]","(11588.5, 15743.5]","(8.0, 15.0]","(10, 40]",1,1,1,0,0.13075157185895595,13.1
10565,42,Female,Marketing,Coordinator,5,3,1,3,1,0,8,5,No,14821,3,Yes,1,"(40, 50]","(11588.5, 15743.5]","(0.999, 8.0]",,1,1,1,0,0.5726193155182793,57.3
10566,31,Male,HR,Engineer,2,3,3,4,3,19,7,0,No,14571,24,No,0,"(30, 40]","(11588.5, 15743.5]","(22.0, 29.0]","(10, 40]",0,0,1,1,0.04767893825708801,4.8
10567,53,Male,IT,Analyst,4,3,1,3,1,19,9,0,Yes,11954,28,Yes,1,"(50, 65]","(11588.5, 15743.5]","(22.0, 29.0]","(10, 40]",1,1,1,1,0.5569976831088936,55.7
10568,54,Female,Sales,Engineer,2,1,3,3,1,5,1,5,Yes,19081,24,No,0,"(50, 65]","(15743.5, 19999.0]","(22.0, 29.0]","(2, 5]",0,1,0,1,0.3155187316661986,31.6
10569,38,Female,HR,Analyst,3,3,1,4,3,15,9,0,Yes,14637,12,Yes,1,"(30, 40]","(11588.5, 15743.5]","(8.0, 15.0]","(10, 40]",1,0,1,0,0.5042799712682512,50.4
10570,24,Female,IT,Manager,1,4,2,3,1,11,7,5,Yes,11242,3,No,0,"(18, 30]","(7292.0, 11588.5]","(0.999, 8.0]","(10, 40]",1,1,1,0,0.16990226289181037,17.0
10571,39,Male,IT,Manager,4,3,3,1,2,10,3,1,Yes,18373,4,No,0,"(30, 40]","(15743.5, 19999.0]","(0.999, 8.0]","(5, 10]",0,1,1,0,0.12664464442255238,12.7
10572,31,Male,HR,Engineer,5,3,1,2,1,17,9,2,No,6594,19,Yes,1,"(30, 40]","(2999.999, 7292.0]","(15.0, 22.0]","(10, 40]",1,1,1,1,0.4504390147325771,45.0
10573,29,Female,R&D,Manager,3,2,3,1,2,6,8,3,No,13028,16,No,0,"(18, 30]","(11588.5, 15743.5]","(15.0, 22.0]","(5, 10]",0,1,1,1,0.09407389217482202,9.4
10574,55,Female,Sales,Manager,4,3,3,3,3,13,2,5,No,14686,19,No,0,"(50, 65]","(11588.5, 15743.5]","(15.0, 22.0]","(10, 40]",0,0,0,1,0.06990323291445927,7.0
10575,58,Female,R&D,Executive,1,3,2,1,2,12,2,2,No,12492,5,No,0,"(50, 65]","(11588.5, 15743.5]","(0.999, 8.0]","(10, 40]",1,1,0,0,0.07901932076726241,7.9
10576,54,Female,R&D,Analyst,5,4,3,4,3,19,6,1,No,12959,7,No,0,"(50, 65]","(11588.5, 15743.5]","(0.999, 8.0]","(10, 40]",0,0,1,0,0.041099400536340286,4.1
10577,31,Male,Finance,Coordinator,2,1,4,3,1,7,7,5,No,6839,18,No,0,"(30, 40]","(2999.999, 7292.0]","(15.0, 22.0]","(5, 10]",0,1,1,1,0.01994985745635644,2.0
10578,39,Female,Sales,Manager,1,4,1,4,1,13,5,5,No,12400,3,Yes,1,"(30, 40]","(11588.5, 15743.5]","(0.999, 8.0]","(10, 40]",1,1,1,0,0.4848040337471873,48.5
10579,46,Male,Marketing,Specialist,4,3,4,3,3,17,5,5,No,11899,9,No,0,"(40, 50]","(11588.5, 15743.5]","(8.0, 15.0]","(10, 40]",0,0,1,0,0.005422179042574026,0.5
10580,57,Female,R&D,Executive,5,3,3,3,2,3,9,0,No,14252,14,No,0,"(50, 65]","(11588.5, 15743.5]","(8.0, 15.0]","(2, 5]",0,1,1,0,0.0678507732777535,6.8
10581,23,Female,Operations,Analyst,4,4,1,4,2,3,7,1,No,13289,19,No,0,"(18, 30]","(11588.5, 15743.5]","(15.0, 22.0]","(2, 5]",1,1,1,1,0.37083565120743744,37.1
10582,40,Male,HR,Executive,1,2,4,3,2,8,9,3,No,4507,6,No,0,"(30, 40]","(2999.999, 7292.0]","(0.999, 8.0]","(5, 10]",0,1,1,0,0.007717557148673767,0.8
10583,31,Female,Sales,Specialist,5,2,4,2,2,1,9,2,No,6576,22,Yes,1,"(30, 40]","(2999.999, 7292.0]","(15.0, 22.0]","(0, 2]",0,1,1,1,0.009774514445297727,1.0
10584,24,Female,Finance,Coordinator,1,4,2,4,1,13,1,0,No,16817,21,No,0,"(18, 30]","(15743.5, 19999.0]","(15.0, 22.0]","(10, 40]",1,1,0,1,0.12809777264946862,12.8
